| end of split  80 /100 | epoch   1 | time: 118.49s | valid loss  2.95 | valid ppl    19.15 | learning rate 0.08
| end of split  81 /100 | epoch   1 | time: 118.06s | valid loss  2.96 | valid ppl    19.22 | learning rate 0.08
| end of split  82 /100 | epoch   1 | time: 118.84s | valid loss  2.95 | valid ppl    19.16 | learning rate 0.08
| end of split  83 /100 | epoch   1 | time: 118.12s | valid loss  2.95 | valid ppl    19.17 | learning rate 0.08
| end of split  84 /100 | epoch   1 | time: 117.77s | valid loss  2.96 | valid ppl    19.27 | learning rate 0.02
| end of split  85 /100 | epoch   1 | time: 118.89s | valid loss  2.96 | valid ppl    19.24 | learning rate 0.02
| end of split  86 /100 | epoch   1 | time: 117.57s | valid loss  2.96 | valid ppl    19.22 | learning rate 0.02
| end of split  87 /100 | epoch   1 | time: 117.66s | valid loss  2.95 | valid ppl    19.17 | learning rate 0.02
| end of split  88 /100 | epoch   1 | time: 117.43s | valid loss  2.96 | valid ppl    19.30 | learning rate 0.02
| end of split  89 /100 | epoch   1 | time: 118.78s | valid loss  2.95 | valid ppl    19.20 | learning rate 0.02
| end of split  90 /100 | epoch   1 | time: 118.13s | valid loss  2.96 | valid ppl    19.26 | learning rate 0.02
| end of split  91 /100 | epoch   1 | time: 117.95s | valid loss  2.95 | valid ppl    19.20 | learning rate 0.02
| end of split  92 /100 | epoch   1 | time: 118.42s | valid loss  2.96 | valid ppl    19.24 | learning rate 0.02
| end of split  93 /100 | epoch   1 | time: 118.39s | valid loss  2.96 | valid ppl    19.21 | learning rate 0.02
| end of split  94 /100 | epoch   1 | time: 117.97s | valid loss  2.96 | valid ppl    19.24 | learning rate 0.02
| end of split  95 /100 | epoch   1 | time: 118.02s | valid loss  2.96 | valid ppl    19.21 | learning rate 0.00
| end of split  96 /100 | epoch   1 | time: 118.04s | valid loss  2.96 | valid ppl    19.22 | learning rate 0.00
| end of split  97 /100 | epoch   1 | time: 118.16s | valid loss  2.95 | valid ppl    19.19 | learning rate 0.00
| end of split  98 /100 | epoch   1 | time: 118.11s | valid loss  2.95 | valid ppl    19.20 | learning rate 0.00
| end of split  99 /100 | epoch   1 | time: 117.93s | valid loss  2.95 | valid ppl    19.20 | learning rate 0.00
| end of split 100 /100 | epoch   1 | time: 118.19s | valid loss  2.95 | valid ppl    19.18 | learning rate 0.00
| end of split   1 /100 | epoch   2 | time: 117.84s | valid loss  2.95 | valid ppl    19.19 | learning rate 0.00
| end of split   2 /100 | epoch   2 | time: 117.85s | valid loss  2.95 | valid ppl    19.18 | learning rate 0.00
| end of split   3 /100 | epoch   2 | time: 117.61s | valid loss  2.96 | valid ppl    19.23 | learning rate 0.00
| end of split   4 /100 | epoch   2 | time: 119.17s | valid loss  2.95 | valid ppl    19.15 | learning rate 0.00
| end of split   5 /100 | epoch   2 | time: 118.59s | valid loss  2.96 | valid ppl    19.23 | learning rate 0.00
| end of split   6 /100 | epoch   2 | time: 117.65s | valid loss  2.96 | valid ppl    19.23 | learning rate 0.00
| end of split   7 /100 | epoch   2 | time: 118.81s | valid loss  2.96 | valid ppl    19.20 | learning rate 0.00
| end of split   8 /100 | epoch   2 | time: 117.42s | valid loss  2.96 | valid ppl    19.23 | learning rate 0.00
| end of split   9 /100 | epoch   2 | time: 117.95s | valid loss  2.95 | valid ppl    19.19 | learning rate 0.00
| end of split  10 /100 | epoch   2 | time: 117.69s | valid loss  2.96 | valid ppl    19.23 | learning rate 0.00
| end of split  11 /100 | epoch   2 | time: 117.97s | valid loss  2.95 | valid ppl    19.19 | learning rate 0.00
| end of split  12 /100 | epoch   2 | time: 16.84s | valid loss  2.95 | valid ppl    19.20 | learning rate 0.00
| end of split  13 /100 | epoch   2 | time: 118.56s | valid loss  2.96 | valid ppl    19.23 | learning rate 0.00
| end of split  14 /100 | epoch   2 | time: 117.81s | valid loss  2.95 | valid ppl    19.19 | learning rate 0.00
| end of split  15 /100 | epoch   2 | time: 116.96s | valid loss  2.95 | valid ppl    19.19 | learning rate 0.00
| end of split  16 /100 | epoch   2 | time: 118.45s | valid loss  2.96 | valid ppl    19.21 | learning rate 0.00
| end of split   1 /100 | epoch   1 | time: 2600.93s | valid loss  1.57 | valid ppl     4.80 | learning rate 20.00
